Mileage,Year,Price
34184,2020,1612472
77097,2021,1534130
41579,2013,1107288
199161,2020,956991
159794,2011,483592
12811,2010,1033068
65990,2013,1095723
11956,2019,1789738
192700,2013,497893
62787,2016,1306379
77926,2019,1327658
46853,2022,1795890
77842,2015,1087116
93236,2013,859260
104595,2011,663297
95165,2015,1121471
16390,2014,1391763
37722,2018,1548164
149714,2011,498226
169794,2023,1259788
55407,2019,1452279
178346,2010,273681
80861,2022,1542783
66024,2023,1689560
77869,2016,1235086
100638,2020,1329575
98132,2015,1003887
74986,2020,1428784
171455,2019,921878
196136,2018,752722
126178,2012,703816
172772,2014,666695
184467,2013,479566
19663,2023,1945660
13414,2023,1998306
75186,2016,1146457
153682,2013,624816
176819,2013,562138
173519,2016,777393
74436,2012,889310
152159,2013,690925
158245,2014,702735
157969,2024,1396448
62493,2015,1156295
134372,2018,1008845
17351,2022,1855458
169481,2012,438429
183384,2022,1140422
21653,2019,1696929
161208,2016,838897
70906,2018,1434675
8009,2023,1971585
145763,2020,1140283
173024,2022,1168658
81939,2011,860663
123940,2012,615938
193659,2021,979481
51832,2018,1514291
32894,2024,1970343
172496,2023,1285099
57143,2019,1465778
47349,2015,1334118
144029,2022,1218809
89975,2019,1396205
34325,2010,1000393
85612,2024,1701832
68143,2010,891642
27453,2011,1135624
23143,2023,2008558
37967,2022,1761415
129592,2020,1292085
74483,2012,990807
164014,2023,1303655
146373,2013,630139
86714,2021,1528365
175361,2020,1026156
140679,2017,1003094
69986,2011,862970
93627,2011,696104
150207,2019,1039329
62728,2019,1400790
190556,2011,240764
22668,2013,1179427
91619,2023,1558802
67391,2018,1379524
132248,2020,1191369
39684,2018,1589211
128907,2019,1144946
128987,2022,1397570
29726,2013,1162724
117997,2020,1296490
112767,2016,1071145
196122,2023,1052814
176299,2020,949563
110544,2010,628334
33644,2022,1813691
54862,2013,1157246
41747,2017,1470207
78018,2012,956788
24761,2013,1277311
149264,2022,1219198
175955,2010,367127
8868,2023,1961881
66965,2024,1772165
132307,2016,981111
110130,2013,766746
104345,2012,709709
74521,2016,1251576
115888,2014,939428
193326,2020,969612
54780,2012,1024836
20331,2013,1334239
147133,2021,1149740
87209,2021,1436381
158138,2010,435924
144231,2018,978961
138124,2010,428004
53712,2023,1740144
22815,2019,1652145
36427,2016,1464486
156760,2013,683401
167367,2010,288129
177326,2016,791841
142044,2019,1101122
73358,2024,1751426
192745,2020,927185
74629,2013,1025532
181079,2012,419462
87883,2017,1157177
125136,2010,616932
24204,2011,1164757
137614,2013,688972
96490,2012,764881
69037,2024,1815491
46352,2014,1242377
147401,2023,1351778
176435,2019,991770
180076,2010,351020
178903,2014,518419
40203,2024,1926353
33058,2011,1126345
76394,2012,917168
60215,2019,1500852
185223,2013,460130
133065,2018,1057117
18316,2024,1986278
116037,2020,1285552
5929,2010,1128979
39293,2022,1790063
199309,2012,369140
189986,2018,830182
7534,2018,1623163
186146,2011,285572
14444,2018,1657455
149841,2019,1019584
38409,2016,1316601
100591,2014,877621
98797,2024,1630844
70412,2020,1458968
151770,2015,798033
45515,2019,1543587
47598,2023,1797942
113080,2024,1513713
198085,2012,346272
112928,2022,1433000
46732,2014,1154022
15151,2016,1540663
57316,2013,1125548
85003,2015,1071647
11203,2013,1276852
91051,2016,1125989
23198,2023,1941819
173160,2015,722369
183131,2016,751536
12235,2015,1391508
73475,2024,1744130
74590,2019,1351996
161387,2011,479260
195983,2015,561509
163914,2016,837278
105976,2011,782464
71773,2013,947124
119309,2021,1267759
146151,2018,980126
118062,2015,871645
91559,2020,1412807
37669,2020,1667915
86077,2018,1323887
110486,2015,967171
38367,2018,1496127
179307,2016,728716
50620,2020,1676211
111450,2014,958678
5106,2023,2035149
60098,2014,1174221
157039,2022,1315244
89475,2020,1462413
120909,2017,1035656
129042,2018,1055081
27228,2020,1713697
